Step,Position,Velocity,Action_Vel_Cmd,Action_Lick_Cmd,Critic_Value,Policy_StdDev,Reward
285,39.265,1.354,1.354,0.322,0.0992,0.949,-0.055
286,27.32,-11.945,-11.945,-0.425,0.4646,0.9339,-0.005
287,28.283,0.963,0.963,0.428,0.0774,0.9283,-0.055
288,18.726,-9.557,-9.557,0.024,0.3642,0.9317,-0.055
289,33.147,14.421,14.421,0.123,0.7314,0.9275,-0.055
290,43.544,10.397,10.397,0.251,0.5298,0.95,-0.055
291,41.672,-1.873,-1.873,-0.382,0.1029,0.947,-0.005
292,51.264,9.592,9.592,0.856,0.4683,0.9305,-0.055
293,63.009,11.745,11.745,0.038,0.5985,0.9476,-0.055
294,71.834,8.826,8.826,-0.544,0.4957,1.0005,-0.005
295,91.02,19.186,19.186,-0.221,0.9856,0.9997,-0.005
296,73.008,-18.012,-18.012,0.583,0.7979,0.0059,-0.055
297,73.25,0.242,0.242,-0.821,0.0333,0.9364,-0.005
298,68.071,-5.179,-5.179,-0.846,0.2112,0.9832,-0.005
299,52.333,-15.739,-15.739,0.359,0.6459,0.9643,-0.055
300,45.193,-7.14,-7.14,0.723,0.2089,0.9421,-0.055
301,30.218,-14.975,-14.975,0.244,0.5694,0.9294,-0.055
302,29.296,-0.922,-0.922,-0.056,0.0169,0.9314,-0.005
303,45.058,15.762,15.762,-0.673,0.8121,0.9304,-0.005
304,47.061,2.003,2.003,0.211,0.1334,0.9512,-0.055
305,27.796,-19.265,-19.265,0.486,0.7661,0.9358,-0.055
306,43.731,15.935,15.935,0.579,0.7893,0.9349,-0.055
307,28.673,-15.058,-15.058,-0.014,0.6372,0.9512,-0.005
308,37.993,9.32,9.32,-0.875,0.5006,0.9309,-0.005
309,20.323,-17.67,-17.67,0.755,0.7199,0.945,-0.055
310,29.483,9.161,9.161,0.46,0.4557,0.9305,-0.055
311,41.66,12.177,12.177,0.667,0.6075,0.9432,-0.055
312,25.791,-15.87,-15.87,0.478,0.6536,0.9483,-0.055
313,42.45,16.659,16.659,-0.656,0.8572,0.9306,-0.005
314,24.363,-18.087,-18.087,-0.505,0.7701,0.9516,-0.005
315,8.561,-15.802,-15.802,0.151,0.587,0.9321,-0.055
316,11.817,3.256,3.256,-0.431,0.1962,0.9276,-0.005
317,16.285,4.468,4.468,-0.13,0.2462,0.9318,-0.005
318,31.689,15.404,15.404,-0.341,0.788,0.9347,-0.005
319,24.907,-6.782,-6.782,0.585,0.2809,0.9509,-0.055
320,27.479,2.571,2.571,0.495,0.1435,0.9273,-0.055
321,46.021,18.543,18.543,0.716,0.9183,0.9336,-0.055
322,44.326,-1.695,-1.695,-0.04,0.1299,0.9518,-0.005
323,25.529,-18.797,-18.797,0.868,0.7384,0.931,-0.055
324,32.067,6.538,6.538,-0.289,0.3489,0.9334,-0.005
325,32.199,0.131,0.131,-0.304,0.0836,0.9408,-0.005
326,45.86,13.661,13.661,-0.862,0.7133,0.9314,-0.005
327,26.506,-19.355,-19.355,0.507,0.8016,0.9499,-0.055
328,7.109,-19.397,-19.397,0.438,0.7336,0.9345,-0.055
329,0.0,-12.865,-12.865,0.026,0.4646,0.9282,-0.055
330,17.023,17.023,17.023,0.96,0.8359,0.9188,-0.055
331,4.856,-12.167,-12.167,0.684,0.5491,0.9488,-0.055
332,0.0,-5.079,-5.079,0.402,0.1645,0.935,-0.055
333,0.0,-9.42,-9.42,0.443,0.3911,0.9219,-0.055
334,1.015,1.015,1.015,0.023,0.1033,0.9192,-0.055
335,0.0,-12.627,-12.627,-0.101,0.545,0.9277,-0.005
336,0.0,-5.928,-5.928,0.29,0.2171,0.9186,-0.055
337,17.485,17.485,17.485,0.989,0.8622,0.9214,-0.055
338,0.0,-18.164,-18.164,-0.92,0.8161,0.9485,-0.005
339,0.0,-17.667,-17.667,-0.748,0.702,0.9227,-0.005
340,10.793,10.793,10.793,-0.542,0.5553,0.9223,-0.005
341,10.907,0.114,0.114,-0.293,0.092,0.9498,-0.005
342,8.737,-2.17,-2.17,-0.211,0.0889,0.9381,-0.005
343,2.309,-6.428,-6.428,0.512,0.2516,0.9366,-0.055
344,0.0,-7.745,-7.745,-0.409,0.3149,0.9213,-0.005
345,0.0,-7.748,-7.748,-0.509,0.3124,0.9201,-0.005
346,15.669,15.669,15.669,-0.734,0.8122,0.9201,-0.005
347,30.465,14.796,14.796,0.409,0.7082,0.9497,-0.055
348,28.688,-1.777,-1.777,0.199,0.1213,0.9494,-0.055
349,46.509,17.821,17.821,0.777,0.849,0.9341,-0.055
350,36.711,-9.799,-9.799,0.561,0.4451,0.9478,-0.055
351,46.313,9.602,9.602,0.136,0.4504,0.9313,-0.055
352,34.789,-11.524,-11.524,0.326,0.4888,0.9503,-0.055
353,21.077,-13.712,-13.712,-0.792,0.528,0.9305,-0.005
354,31.337,10.259,10.259,0.939,0.4596,0.9315,-0.055
355,18.041,-13.296,-13.296,0.405,0.5708,0.9499,-0.055
356,12.862,-5.178,-5.178,-0.052,0.1669,0.9323,-0.005
357,19.685,6.822,6.822,-0.286,0.3237,0.9342,-0.005
358,5.228,-14.457,-14.457,0.887,0.6113,0.9454,-0.055
359,0.436,-4.792,-4.792,0.854,0.1408,0.9327,-0.055
360,0.0,-7.361,-7.361,0.852,0.2938,0.9222,-0.055
361,0.0,-7.47,-7.47,-0.278,0.2982,0.9204,-0.005
362,17.61,17.61,17.61,0.786,0.8764,0.9203,-0.055
363,7.764,-9.846,-9.846,0.734,0.4563,0.9484,-0.055
364,24.898,17.134,17.134,0.713,0.8182,0.9349,-0.055
365,12.525,-12.372,-12.372,0.163,0.5602,0.9483,-0.055
366,29.587,17.062,17.062,-0.793,0.8461,0.9342,-0.005
367,35.834,6.247,6.247,0.152,0.2926,0.9482,-0.055
368,24.002,-11.832,-11.832,-0.959,0.5026,0.9439,-0.005
369,16.094,-7.908,-7.908,-0.013,0.2894,0.933,-0.005
370,1.588,-14.506,-14.506,-0.52,0.5814,0.9343,-0.005
371,8.743,7.155,7.155,0.061,0.3545,0.9199,-0.055
372,0.0,-16.754,-16.754,0.753,0.7153,0.9465,-0.055
373,19.668,19.668,19.668,0.81,0.9752,0.9216,-0.055
374,19.867,0.199,0.199,0.763,0.0739,0.9473,-0.055
375,19.465,-0.401,-0.401,0.391,0.0642,0.9374,-0.055
376,2.22,-17.246,-17.246,-0.391,0.72,0.9368,-0.005
377,0.0,-18.309,-18.309,-0.322,0.734,0.922,-0.005
378,1.159,1.159,1.159,-0.62,0.0967,0.9229,-0.005
379,18.85,17.69,17.69,-0.53,0.9132,0.9277,-0.005
380,12.762,-6.087,-6.087,-0.599,0.3187,0.9482,-0.005
381,27.631,14.869,14.869,-0.083,0.7233,0.9346,-0.005
382,16.484,-11.148,-11.148,0.372,0.4987,0.9494,-0.055
383,19.423,2.939,2.939,0.86,0.1154,0.9348,-0.055
384,29.241,9.818,9.818,-0.793,0.4845,0.9401,-0.005
385,18.337,-10.905,-10.905,0.966,0.4666,0.9494,-0.055
386,24.519,6.182,6.182,0.613,0.2745,0.9346,-0.055
387,4.988,-19.53,-19.53,-0.718,0.8329,0.9436,-0.005
388,22.037,17.048,17.048,-0.856,0.8432,0.9323,-0.005
389,32.809,10.772,10.772,0.873,0.4994,0.9484,-0.055
390,18.277,-14.532,-14.532,-0.601,0.6323,0.9501,-0.005
391,7.343,-10.934,-10.934,0.434,0.4169,0.9313,-0.055
392,0.0,-8.63,-8.63,-0.726,0.3195,0.9353,-0.005
393,18.005,18.005,18.005,-0.625,0.9287,0.9196,-0.005
394,19.163,1.158,1.158,0.005,0.0938,0.9481,-0.055
395,37.669,18.506,18.506,-0.168,0.9056,0.9383,-0.005
396,54.682,17.013,17.013,0.898,0.8017,0.9474,-0.055
397,55.836,1.154,1.154,0.432,0.0778,0.948,-0.055
398,54.067,-1.769,-1.769,0.748,0.0625,0.9394,-0.055
399,72.058,17.991,17.991,-0.577,0.8897,0.9339,-0.005
400,72.361,0.304,0.304,0.706,0.1107,0.986,-0.055
