episode,phase,total_reward,steps,success,licked_left,licked_right,n_licks,critic_loss,actor_loss,alpha
285,1.0,1096.08,500,0,0,0,284,nan,519.046204,nan
286,1.0,996.18,500,0,1,0,264,nan,475.924652,nan
287,1.0,1096.195,500,0,1,0,261,nan,499.623138,nan
288,1.0,996.065,500,0,1,0,287,nan,448.945374,nan
289,1.0,1096.245,500,0,0,0,251,nan,507.337921,nan
290,1.0,1096.21,500,0,1,0,258,nan,498.60788,nan
291,1.0,1096.075,500,0,0,0,285,nan,499.34903,nan
292,1.0,996.28,500,0,1,0,244,nan,460.154266,nan
293,1.0,1096.18,500,0,1,0,264,nan,521.833679,nan
294,1.0,1196.345,500,0,0,0,231,nan,562.976196,nan
295,1.0,1096.18,500,0,1,0,264,nan,495.52002,nan
296,1.0,1096.235,500,0,1,0,253,nan,507.736877,nan
297,1.0,1096.145,500,0,0,0,271,nan,510.056,nan
298,1.0,1096.22,500,0,0,0,256,nan,530.141174,nan
299,1.0,996.15,500,0,1,0,270,nan,434.201111,nan
300,1.0,1096.14,500,0,1,0,272,nan,508.01004,nan
301,1.0,996.125,500,0,1,0,275,nan,469.265747,nan
302,1.0,996.17,500,0,1,0,266,nan,458.95163,nan
303,1.0,1096.13,500,0,1,0,274,nan,504.816162,nan
304,1.0,996.095,500,0,1,0,281,nan,453.973389,nan
305,1.0,996.305,500,0,0,0,239,nan,483.192902,nan
306,1.0,1096.14,500,0,0,0,272,nan,490.398163,nan
307,1.0,1096.14,500,0,0,0,272,nan,520.701904,nan
308,1.0,996.345,500,0,0,0,231,nan,469.823883,nan
309,1.0,896.235,500,0,1,0,253,nan,444.845306,nan
310,1.0,1096.165,500,0,1,0,267,nan,521.936279,nan
311,1.0,1096.155,500,0,0,0,269,nan,519.577576,nan
312,1.0,996.21,500,0,1,0,258,nan,475.478455,nan
313,1.0,1196.22,500,0,0,0,256,nan,547.353333,nan
314,1.0,1096.21,500,0,1,0,258,nan,492.505951,nan
315,1.0,1096.25,500,0,0,0,250,nan,511.749298,nan
316,1.0,1096.255,500,0,0,0,249,nan,513.09613,nan
317,1.0,1096.19,500,0,0,0,262,nan,525.497864,nan
318,1.0,1196.135,500,0,0,0,273,nan,547.231323,nan
319,1.0,1196.37,500,0,0,0,226,nan,574.457336,nan
320,1.0,1096.225,500,0,0,0,255,nan,523.534729,nan
321,1.0,996.24,500,0,1,0,252,nan,473.199799,nan
322,1.0,1096.15,500,0,1,0,270,nan,500.358368,nan
323,1.0,1196.265,500,0,0,0,247,nan,569.115051,nan
324,1.0,1196.215,500,0,0,0,257,nan,553.77887,nan
325,1.0,1096.135,500,0,1,0,273,nan,504.187286,nan
326,1.0,1096.17,500,0,1,0,266,nan,520.632141,nan
327,1.0,1096.125,500,0,1,0,275,nan,521.64917,nan
328,1.0,1096.12,500,0,0,0,276,nan,507.86322,nan
329,1.0,1096.215,500,0,1,0,257,nan,484.516296,nan
330,1.0,1096.095,500,0,1,0,281,nan,514.784424,nan
331,1.0,1096.175,500,0,0,0,265,nan,512.312561,nan
332,1.0,1096.165,500,0,1,0,267,nan,498.281647,nan
333,1.0,1096.1,500,0,1,0,280,nan,508.911072,nan
334,1.0,1096.125,500,0,1,0,275,nan,511.76474,nan
335,1.0,1096.075,500,0,1,0,285,nan,508.714142,nan
336,1.0,1096.165,500,0,0,0,267,nan,508.253113,nan
337,1.0,1096.035,500,0,1,0,293,nan,508.007874,nan
338,1.0,1095.985,500,0,0,0,303,nan,514.477417,nan
339,1.0,1096.11,500,0,1,0,278,nan,539.264526,nan
340,1.0,1196.015,500,0,0,0,297,nan,573.305359,nan
341,1.0,1096.04,500,0,1,0,292,nan,495.686035,nan
342,1.0,1196.0,500,0,0,0,300,nan,568.158752,nan
343,1.0,1096.005,500,0,0,0,299,nan,511.379883,nan
344,1.0,1096.005,500,0,1,0,299,nan,510.240112,nan
345,1.0,996.03,500,0,1,0,294,nan,472.187836,nan
346,1.0,1196.05,500,0,1,0,290,nan,549.703125,nan
347,1.0,1095.945,500,0,0,0,311,nan,521.260071,nan
348,1.0,1096.09,500,0,0,0,282,nan,498.283661,nan
349,1.0,996.005,500,0,1,0,299,nan,447.048004,nan
350,1.0,995.98,500,0,1,0,304,nan,453.034882,nan
351,1.0,1095.925,500,0,1,0,315,nan,495.055939,nan
352,1.0,1096.025,500,0,0,0,295,nan,554.100464,nan
353,1.0,1095.985,500,0,1,0,303,nan,505.659546,nan
354,1.0,995.96,500,0,1,0,308,nan,471.642273,nan
355,1.0,1095.955,500,0,1,0,309,nan,496.724426,nan
356,1.0,1195.995,500,0,1,0,301,nan,529.039429,nan
357,1.0,1195.97,500,0,0,0,306,nan,556.7901,nan
358,1.0,1196.005,500,0,0,0,299,nan,552.436951,nan
359,1.0,995.955,500,0,1,0,309,nan,475.837433,nan
360,1.0,1195.89,500,0,1,0,322,nan,539.717651,nan
361,1.0,1096.075,500,0,1,0,285,nan,517.017761,nan
362,1.0,1095.93,500,0,1,0,314,nan,492.681274,nan
363,1.0,1095.93,500,0,0,0,314,nan,504.499481,nan
364,1.0,1096.075,500,0,0,0,285,nan,504.478027,nan
365,1.0,1096.0,500,0,0,0,300,nan,487.463043,nan
366,1.0,1195.945,500,0,0,0,311,nan,547.826965,nan
367,1.0,1096.11,500,0,0,0,278,nan,518.168457,nan
