Step,Position,Velocity,Action_Vel_Cmd,Action_Lick_Cmd,Critic_Value,Policy_StdDev,Reward
217,80.497,20.0,20.0,-1.0,-0.215,0.0,-0.005
218,60.497,-20.0,-20.0,1.0,0.3041,0.0,-0.055
219,80.497,20.0,20.0,-1.0,-0.2923,0.0,-0.005
220,60.497,-20.0,-20.0,1.0,0.1073,0.0,-0.055
221,40.497,-20.0,-20.0,1.0,0.6547,0.0,-0.055
222,60.497,20.0,20.0,1.0,0.2356,0.0,-0.055
223,40.497,-20.0,-20.0,-1.0,0.9544,0.0,-0.005
224,20.497,-20.0,-20.0,-0.0,0.7243,0.0,-0.005
225,40.497,20.0,20.0,1.0,0.4882,0.0,-0.055
226,20.497,-20.0,-20.0,-1.0,0.8258,0.0,-0.005
227,40.497,20.0,20.0,1.0,0.5615,0.0,-0.055
228,60.497,20.0,20.0,1.0,0.116,0.0,-0.055
229,40.497,-20.0,-20.0,-1.0,0.8531,0.0,-0.005
230,20.497,-20.0,-20.0,1.0,0.695,0.0,-0.055
231,40.497,20.0,20.0,1.0,0.4485,0.0,-0.055
232,60.497,20.0,20.0,1.0,0.0937,0.0,-0.055
233,40.497,-20.0,-20.0,-1.0,0.8924,0.0,-0.005
234,60.497,20.0,20.0,1.0,0.2376,0.0,-0.055
235,61.986,1.489,1.489,1.0,0.0774,0.0,-0.055
236,81.986,20.0,20.0,1.0,0.103,0.0,-0.055
237,101.986,20.0,20.0,1.0,0.1842,0.0,-0.055
238,120.0,20.0,20.0,1.0,0.1175,0.0,-0.055
239,100.0,-20.0,-20.0,1.0,2.6078,0.0,-0.055
240,80.0,-20.0,-20.0,1.0,3.8447,0.0,-0.055
241,60.0,-20.0,-20.0,1.0,5.1408,0.0,-0.055
242,40.0,-20.0,-20.0,1.0,7.2922,0.0,-0.055
243,20.0,-20.0,-20.0,-1.0,7.5832,0.0,-0.005
244,40.0,20.0,20.0,-1.0,4.9549,0.0,-0.005
245,60.0,20.0,20.0,1.0,3.8463,0.0,-0.055
