episode,total_reward,steps,n_licks,n_successes,intra_trial_duration,critic_loss,actor_loss,alpha
361,2095.835,500,333,21,12.0,722.324585,-346.745331,0.102297
362,2095.6,500,380,21,12.0,664.196899,-349.173584,0.105588
363,1995.61,500,378,20,12.05,1.808681,-345.672424,0.106848
364,2095.765,500,347,21,12.0,660.743774,-340.630798,0.104574
365,2095.74,500,352,21,12.0,669.773682,-346.355621,0.102172
366,2095.75,500,350,21,12.0,1420.760498,-345.604645,0.102897
367,2095.63,500,374,21,12.0,2.024115,-345.008423,0.102755
368,2095.695,500,361,21,12.0,1406.800903,-348.752808,0.104176
369,2095.785,500,343,21,12.0,678.433044,-344.881165,0.104069
370,2095.66,500,368,21,12.0,6.79952,-347.897797,0.103385
371,2095.795,500,341,21,12.0,723.241821,-348.210541,0.103642
372,2095.705,500,359,21,12.0,699.431763,-346.83902,0.103434
373,2095.73,500,354,21,12.0,712.868591,-347.445831,0.106617
374,2095.66,500,368,21,12.0,2117.915039,-344.545319,0.110947
375,2095.63,500,374,21,12.0,1.713967,-343.486572,0.111211
376,2095.66,500,368,21,12.0,3.948238,-344.638672,0.10891
377,2095.705,500,359,21,12.0,1.679091,-346.972748,0.110454
378,2095.61,500,378,21,12.0,6.267069,-345.805695,0.107856
379,2095.77,500,346,21,12.0,693.889282,-348.107239,0.103309
380,2095.805,500,339,21,12.0,673.925049,-346.801788,0.104299
381,2095.87,500,326,21,12.0,1416.404663,-346.705536,0.103884
382,2095.76,500,348,21,12.0,2.157804,-346.397095,0.107033
383,2095.77,500,346,21,12.0,2.965201,-348.285675,0.104791
384,2095.705,500,359,21,12.0,1384.299194,-346.406006,0.10634
385,2095.725,500,355,21,12.0,8.483753,-345.998077,0.110861
386,2095.725,500,355,21,12.0,692.178711,-346.015717,0.11142
387,2095.73,500,354,21,12.0,696.098145,-347.865723,0.110214
388,2095.665,500,367,21,12.0,1.519773,-347.206787,0.10701
389,2095.755,500,349,21,12.0,22.018698,-346.338531,0.104921
390,2095.785,500,343,21,12.0,730.710083,-346.034851,0.101983
391,2095.65,500,370,21,12.0,2.792299,-346.455719,0.099588
392,2095.725,500,355,21,12.0,2.162537,-349.114502,0.106325
393,2095.54,500,392,21,12.0,727.61676,-345.786957,0.10923
394,2095.715,500,357,21,12.0,742.753662,-343.908691,0.107853
395,2096.06,500,288,21,12.0,3.782658,-344.188629,0.105659
396,2095.85,500,330,21,12.0,1.33615,-346.078674,0.101129
397,2095.8,500,340,21,12.0,675.874512,-346.158783,0.098392
398,2096.15,500,270,21,12.0,2.330897,-346.989899,0.092711
399,2096.175,500,265,21,12.0,1.368878,-348.630432,0.091566
400,2095.84,500,332,21,12.0,5.433975,-349.133698,0.09687
401,2095.7,500,360,21,12.0,1.601134,-346.30777,0.098828
402,1995.71,500,358,20,12.05,3.540925,-348.10556,0.097043
403,2095.65,500,370,21,12.0,4.049724,-345.688171,0.104087
404,2095.815,500,337,21,12.0,5.698157,-345.418304,0.09982
405,2095.97,500,306,21,12.0,754.317749,-349.256744,0.091802
406,2096.175,500,265,21,12.0,1.53745,-347.023285,0.093343
407,2095.995,500,301,21,12.0,757.84845,-349.037445,0.093648
408,2096.195,500,261,21,12.0,5.905675,-349.324493,0.093128
409,2095.92,500,316,21,12.0,3.78948,-344.673462,0.092218
410,2095.815,500,337,21,12.0,0.40473,-347.428223,0.095376
411,2095.785,500,343,21,12.0,9.531072,-346.63504,0.097657
412,2095.765,500,347,21,12.0,715.363831,-344.063721,0.095737
