episode,total_reward,steps,n_licks,n_successes,intra_trial_duration,critic_loss,actor_loss,alpha
276,1095.555,500,389,11,22.636363636363637,nan,498.738129,nan
277,1195.63,500,374,12,21.25,nan,570.758972,nan
278,1295.535,500,393,13,20.846153846153847,nan,595.066833,nan
279,1095.58,500,384,11,23.454545454545453,nan,495.881805,nan
280,1195.515,500,397,12,20.833333333333332,nan,556.985718,nan
281,1195.625,500,375,12,21.5,nan,545.742554,nan
282,1095.535,500,393,11,21.454545454545453,nan,494.429565,nan
283,1095.645,500,371,11,21.636363636363637,nan,498.658478,nan
284,1095.59,500,382,11,22.0,nan,506.255402,nan
285,1095.61,500,378,11,19.90909090909091,nan,502.865692,nan
286,995.545,500,391,10,24.5,nan,464.288239,nan
287,1095.59,500,382,11,23.454545454545453,nan,533.565063,nan
288,1095.455,500,409,11,24.0,nan,503.786469,nan
289,1195.615,500,377,12,21.416666666666668,nan,551.353699,nan
290,1195.575,500,385,12,21.583333333333332,nan,546.592651,nan
291,1195.505,500,399,12,20.333333333333332,nan,570.532898,nan
292,1295.495,500,401,13,20.307692307692307,nan,577.193604,nan
293,1095.575,500,385,11,20.90909090909091,nan,504.36261,nan
294,1095.515,500,397,11,23.636363636363637,nan,516.938293,nan
295,1095.605,500,379,11,21.545454545454547,nan,512.644592,nan
296,1095.48,500,404,11,25.09090909090909,nan,498.086243,nan
297,1195.505,500,399,12,21.916666666666668,nan,546.392883,nan
298,1195.61,500,378,12,21.0,nan,548.860474,nan
299,1195.565,500,387,12,22.583333333333332,nan,531.90155,nan
300,1095.505,500,399,11,19.272727272727273,nan,504.019958,nan
301,1195.56,500,388,12,20.5,nan,560.889099,nan
302,1195.515,500,397,12,20.333333333333332,nan,541.620422,nan
303,1095.55,500,390,11,22.727272727272727,nan,514.837524,nan
304,1095.58,500,384,11,22.727272727272727,nan,505.168579,nan
305,1095.495,500,401,11,22.181818181818183,nan,509.011566,nan
306,1195.505,500,399,12,21.166666666666668,nan,528.72052,nan
307,1195.49,500,402,12,21.25,nan,536.088989,nan
308,1195.49,500,402,12,21.833333333333332,nan,543.207275,nan
309,1195.505,500,399,12,20.916666666666668,nan,554.868164,nan
310,1195.545,500,391,12,21.083333333333332,nan,551.56134,nan
311,1095.455,500,409,11,22.0,nan,489.041901,nan
312,1195.535,500,393,12,20.083333333333332,nan,553.085632,nan
313,1195.54,500,392,12,21.75,nan,549.059814,nan
314,1195.47,500,406,12,20.166666666666668,nan,537.849976,nan
315,1095.55,500,390,11,22.90909090909091,nan,482.546448,nan
316,1095.515,500,397,11,21.181818181818183,nan,488.464417,nan
317,1095.52,500,396,11,23.454545454545453,nan,495.612152,nan
318,1095.495,500,401,11,22.545454545454547,nan,509.683777,nan
319,1095.52,500,396,11,22.181818181818183,nan,503.167664,nan
320,1195.565,500,387,12,19.75,nan,530.544922,nan
321,995.565,500,387,10,24.7,nan,475.468018,nan
322,1295.47,500,406,13,19.615384615384617,nan,589.97229,nan
323,1195.51,500,398,12,20.666666666666668,nan,534.096985,nan
324,1195.5,500,400,12,20.166666666666668,nan,526.78833,nan
325,1095.585,500,383,11,23.09090909090909,nan,485.651245,nan
326,1095.49,500,402,11,23.727272727272727,nan,486.029602,nan
327,1095.625,500,375,11,21.0,nan,531.760498,nan
328,1195.57,500,386,12,19.833333333333332,nan,530.45874,nan
329,1195.58,500,384,12,21.916666666666668,nan,563.856445,nan
330,1095.54,500,392,11,21.90909090909091,nan,507.455383,nan
331,1195.585,500,383,12,20.916666666666668,nan,556.974854,nan
332,1195.54,500,392,12,21.5,nan,534.692078,nan
333,1195.555,500,389,12,21.0,nan,561.259644,nan
334,1095.52,500,396,11,20.90909090909091,nan,499.941284,nan
335,1195.66,500,368,12,20.416666666666668,nan,542.970154,nan
336,1195.61,500,378,12,19.833333333333332,nan,544.300232,nan
337,1195.545,500,391,12,21.083333333333332,nan,567.086426,nan
338,1195.58,500,384,12,20.416666666666668,nan,544.845093,nan
339,1195.65,500,370,12,17.75,nan,542.777649,nan
340,1095.64,500,372,11,22.90909090909091,nan,518.065735,nan
341,1195.645,500,371,12,21.5,nan,544.156067,nan
342,1095.555,500,389,11,21.90909090909091,nan,489.43277,nan
343,1195.605,500,379,12,20.25,nan,550.344788,nan
344,1195.625,500,375,12,19.75,nan,549.416626,nan
345,1195.605,500,379,12,21.333333333333332,nan,544.843079,nan
346,1195.605,500,379,12,21.416666666666668,nan,555.796326,nan
347,1095.64,500,372,11,22.636363636363637,nan,511.886261,nan
348,1195.61,500,378,12,19.916666666666668,nan,557.235229,nan
349,1195.745,500,351,12,19.916666666666668,nan,561.084045,nan
350,1195.715,500,357,12,20.25,nan,547.696533,nan
351,1195.655,500,369,12,21.333333333333332,nan,544.832764,nan
352,1295.735,500,353,13,18.846153846153847,nan,601.881653,nan
353,1195.695,500,361,12,19.25,nan,563.311157,nan
354,1195.765,500,347,12,22.083333333333332,nan,533.198486,nan
355,1195.795,500,341,12,20.833333333333332,nan,573.614746,nan
356,1295.795,500,341,13,18.846153846153847,nan,606.191101,nan
