episode,total_reward,steps,success,licked_left,licked_right,n_licks,n_successes,intra_trial_duration,critic_loss,actor_loss,alpha
232,-2.7,500,0,1,0,4,0,nan,6.3e-05,0.445507,nan
233,-2.95,500,0,1,0,9,0,nan,1.4e-05,0.448267,nan
234,-2.9,500,0,1,0,8,0,nan,0.001953,0.444555,nan
235,-2.65,500,0,0,0,3,0,nan,0.001165,0.438204,nan
236,-2.85,500,0,1,0,7,0,nan,9.2e-05,0.446495,nan
237,-2.95,500,0,1,0,9,0,nan,0.001914,0.447473,nan
238,-2.7,500,0,1,0,4,0,nan,0.003667,0.45126,nan
239,-2.7,500,0,1,0,4,0,nan,9.1e-05,0.449824,nan
240,-3.2,500,0,1,0,14,0,nan,0.001825,0.446993,nan
241,-2.75,500,0,1,0,5,0,nan,8.4e-05,0.450233,nan
242,-2.6,500,0,0,0,2,0,nan,0.00018,0.447403,nan
243,-2.5,500,0,0,0,0,0,nan,0.000126,0.447839,nan
244,-2.75,500,0,1,0,5,0,nan,0.000146,0.441584,nan
245,-2.6,500,0,1,0,2,0,nan,0.001662,0.446953,nan
246,-2.8,500,0,1,0,6,0,nan,1.5e-05,0.440928,nan
247,-2.7,500,0,1,0,4,0,nan,0.000124,0.440093,nan
248,-2.5,500,0,0,0,0,0,nan,0.000173,0.442834,nan
249,-2.5,500,0,0,0,0,0,nan,3.7e-05,0.438937,nan
250,-2.6,500,0,1,0,2,0,nan,0.001297,0.437093,nan
251,-2.9,500,0,1,0,8,0,nan,0.001957,0.435445,nan
252,-2.9,500,0,1,0,8,0,nan,0.004747,0.43238,nan
253,-2.55,500,0,0,0,1,0,nan,0.00028,0.439028,nan
254,-3.4,500,0,1,0,18,0,nan,0.000327,0.438736,nan
255,-3.9,500,0,1,0,28,0,nan,0.00303,0.435743,nan
256,-4.45,500,0,1,0,39,0,nan,0.003478,0.437087,nan
257,-4.35,500,0,1,0,37,0,nan,0.001844,0.44163,nan
258,-4.15,500,0,1,0,33,0,nan,0.00188,0.439788,nan
259,-3.9,500,0,1,0,28,0,nan,0.000513,0.44244,nan
260,-4.55,500,0,1,0,41,0,nan,0.000231,0.449612,nan
261,-5.6,500,0,1,0,62,0,nan,0.000272,0.444001,nan
262,-6.2,500,0,1,0,74,0,nan,0.000377,0.447295,nan
263,-6.4,500,0,1,0,78,0,nan,0.00045,0.453539,nan
264,-8.2,500,0,1,0,114,0,nan,0.000484,0.462124,nan
265,-6.2,500,0,1,0,74,0,nan,0.000204,0.459191,nan
266,-5.15,500,0,1,0,53,0,nan,0.000317,0.457384,nan
267,-4.8,500,0,1,0,46,0,nan,0.000361,0.467485,nan
268,-5.7,500,0,1,0,64,0,nan,0.002248,0.464287,nan
269,-6.35,500,0,1,0,77,0,nan,0.000349,0.466069,nan
270,-6.9,500,0,1,0,88,0,nan,0.002417,0.471048,nan
271,-6.55,500,0,1,0,81,0,nan,0.001812,0.471437,nan
272,-8.0,500,0,1,0,110,0,nan,0.000239,0.476227,nan
273,-7.8,500,0,1,0,106,0,nan,0.002405,0.477681,nan
274,-6.35,500,0,1,0,77,0,nan,0.002359,0.481527,nan
275,-6.4,500,0,1,0,78,0,nan,0.00074,0.493605,nan
276,-6.6,500,0,1,0,82,0,nan,0.000778,0.495353,nan
277,-7.45,500,0,1,0,99,0,nan,0.000979,0.50017,nan
278,-6.9,500,0,1,0,88,0,nan,0.003079,0.510381,nan
279,-6.15,500,0,1,0,73,0,nan,0.00244,0.504237,nan
280,-4.9,500,0,1,0,48,0,nan,0.002354,0.502756,nan
281,-6.25,500,0,1,0,75,0,nan,0.002057,0.503874,nan
282,-5.85,500,0,1,0,67,0,nan,0.00018,0.5045,nan
283,-5.2,500,0,1,0,54,0,nan,0.000176,0.503871,nan
284,-5.35,500,0,1,0,57,0,nan,0.000199,0.508181,nan
285,-5.45,500,0,1,0,59,0,nan,0.002458,0.510453,nan
286,-3.9,500,0,1,0,28,0,nan,0.000113,0.506543,nan
287,-2.85,500,0,1,0,7,0,nan,0.002187,0.503567,nan
288,-2.7,500,0,1,0,4,0,nan,0.004036,0.505356,nan
289,-2.55,500,0,1,0,1,0,nan,1e-05,0.502089,nan
290,-2.55,500,0,1,0,1,0,nan,2.1e-05,0.502113,nan
291,-2.55,500,0,1,0,1,0,nan,0.001692,0.502267,nan
292,-2.6,500,0,1,0,2,0,nan,5.9e-05,0.50228,nan
293,-2.55,500,0,1,0,1,0,nan,1e-05,0.499,nan
294,-2.55,500,0,1,0,1,0,nan,0.002023,0.492032,nan
295,-2.55,500,0,1,0,1,0,nan,0.002044,0.497969,nan
296,-2.55,500,0,1,0,1,0,nan,1.7e-05,0.496325,nan
297,-2.55,500,0,1,0,1,0,nan,0.001678,0.494497,nan
298,-2.55,500,0,1,0,1,0,nan,1.3e-05,0.490354,nan
299,-2.55,500,0,1,0,1,0,nan,1.1e-05,0.488451,nan
300,-2.55,500,0,1,0,1,0,nan,1.1e-05,0.492643,nan
301,-2.55,500,0,1,0,1,0,nan,2.4e-05,0.489665,nan
302,-2.55,500,0,1,0,1,0,nan,0.003818,0.484752,nan
303,-2.55,500,0,1,0,1,0,nan,0.001927,0.487771,nan
304,-2.6,500,0,1,0,2,0,nan,1.3e-05,0.489711,nan
305,-2.55,500,0,1,0,1,0,nan,0.001903,0.483149,nan
306,-2.55,500,0,1,0,1,0,nan,0.003787,0.488383,nan
307,-2.55,500,0,1,0,1,0,nan,0.001652,0.485766,nan
308,-2.65,500,0,1,0,3,0,nan,0.001859,0.477873,nan
309,-2.55,500,0,1,0,1,0,nan,0.003671,0.4803,nan
310,-2.55,500,0,1,0,1,0,nan,0.003629,0.479175,nan
311,-2.65,500,0,1,0,3,0,nan,1.4e-05,0.480906,nan
312,-2.55,500,0,1,0,1,0,nan,1.6e-05,0.482195,nan
313,-2.6,500,0,1,0,2,0,nan,1.5e-05,0.476677,nan
314,-2.55,500,0,1,0,1,0,nan,1.7e-05,0.474704,nan
315,-2.55,500,0,1,0,1,0,nan,7e-06,0.477251,nan
316,-2.55,500,0,1,0,1,0,nan,8e-06,0.475017,nan
317,-2.65,500,0,1,0,3,0,nan,2.1e-05,0.47276,nan
318,-2.6,500,0,1,0,2,0,nan,0.001784,0.478166,nan
319,-2.55,500,0,1,0,1,0,nan,0.001788,0.476646,nan
320,-2.65,500,0,1,0,3,0,nan,0.001742,0.469321,nan
321,-2.55,500,0,1,0,1,0,nan,0.00172,0.471452,nan
322,-2.55,500,0,1,0,1,0,nan,4.3e-05,0.467903,nan
323,-2.6,500,0,1,0,2,0,nan,2.2e-05,0.469177,nan
324,-2.65,500,0,1,0,3,0,nan,1.1e-05,0.468085,nan
325,-2.55,500,0,1,0,1,0,nan,3e-05,0.469557,nan
326,-2.55,500,0,1,0,1,0,nan,0.001693,0.46847,nan
327,-2.65,500,0,1,0,3,0,nan,1.6e-05,0.464124,nan
328,-2.6,500,0,1,0,2,0,nan,1.9e-05,0.468746,nan
329,-2.6,500,0,1,0,2,0,nan,0.001674,0.4646,nan
330,-2.7,500,0,1,0,4,0,nan,7e-06,0.464518,nan
331,-2.65,500,0,1,0,3,0,nan,0.00165,0.463039,nan
332,-2.65,500,0,1,0,3,0,nan,3e-06,0.46441,nan
333,-2.7,500,0,1,0,4,0,nan,9e-06,0.464996,nan
334,-2.6,500,0,1,0,2,0,nan,1.5e-05,0.462674,nan
335,-2.65,500,0,1,0,3,0,nan,0.001641,0.460752,nan
336,-2.75,500,0,1,0,5,0,nan,0.003239,0.459101,nan
337,-2.6,500,0,1,0,2,0,nan,1.9e-05,0.462899,nan
338,-2.55,500,0,1,0,1,0,nan,2.3e-05,0.457579,nan
339,-2.55,500,0,1,0,1,0,nan,0.001671,0.45683,nan
340,-2.6,500,0,1,0,2,0,nan,0.0016,0.456261,nan
341,-2.6,500,0,1,0,2,0,nan,0.003179,0.456025,nan
342,-2.55,500,0,1,0,1,0,nan,3e-06,0.456586,nan
343,-2.55,500,0,1,0,1,0,nan,2.3e-05,0.455663,nan
344,-2.55,500,0,1,0,1,0,nan,6e-06,0.455365,nan
345,-2.55,500,0,1,0,1,0,nan,0.001588,0.455016,nan
346,-2.6,500,0,1,0,2,0,nan,0.001605,0.44944,nan
347,-2.6,500,0,1,0,2,0,nan,2e-05,0.451707,nan
348,-2.55,500,0,1,0,1,0,nan,3.2e-05,0.451288,nan
349,-2.6,500,0,1,0,2,0,nan,3.3e-05,0.452849,nan
350,-2.6,500,0,1,0,2,0,nan,9e-06,0.452043,nan
351,-2.6,500,0,1,0,2,0,nan,1.4e-05,0.449928,nan
352,-2.6,500,0,1,0,2,0,nan,0.00153,0.449082,nan
353,-2.55,500,0,1,0,1,0,nan,1.9e-05,0.445545,nan
354,-2.55,500,0,1,0,1,0,nan,1.2e-05,0.448017,nan
355,-2.55,500,0,1,0,1,0,nan,4.1e-05,0.444605,nan
356,-2.6,500,0,1,0,2,0,nan,1e-05,0.446602,nan
357,-2.65,500,0,1,0,3,0,nan,1.8e-05,0.445301,nan
358,-2.55,500,0,1,0,1,0,nan,6e-06,0.446985,nan
359,-2.65,500,0,1,0,3,0,nan,6e-06,0.447068,nan
360,-2.6,500,0,1,0,2,0,nan,0.001495,0.443977,nan
361,-2.55,500,0,0,0,1,0,nan,3e-06,0.445634,nan
362,-2.6,500,0,1,0,2,0,nan,5e-06,0.443191,nan
363,-2.55,500,0,1,0,1,0,nan,3e-06,0.445488,nan
364,-2.55,500,0,1,0,1,0,nan,0.001488,0.444195,nan
365,-2.55,500,0,1,0,1,0,nan,0.001507,0.44498,nan
366,-2.65,500,0,1,0,3,0,nan,3e-06,0.442891,nan
367,-2.55,500,0,1,0,1,0,nan,0.00147,0.442205,nan
368,-2.6,500,0,1,0,2,0,nan,0.001462,0.440247,nan
369,-2.6,500,0,1,0,2,0,nan,1.2e-05,0.440127,nan
370,-2.55,500,0,1,0,1,0,nan,1.1e-05,0.442563,nan
371,-2.6,500,0,1,0,2,0,nan,1.2e-05,0.439231,nan
372,-2.55,500,0,1,0,1,0,nan,3e-06,0.440987,nan
373,-2.55,500,0,1,0,1,0,nan,6e-06,0.441222,nan
374,-2.6,500,0,1,0,2,0,nan,0.001454,0.439702,nan
375,-2.55,500,0,1,0,1,0,nan,0.00145,0.437564,nan
376,-2.6,500,0,1,0,2,0,nan,7e-06,0.438904,nan
377,-2.6,500,0,1,0,2,0,nan,0.001443,0.440123,nan
378,-2.55,500,0,1,0,1,0,nan,2e-05,0.438674,nan
379,-2.6,500,0,1,0,2,0,nan,0.001438,0.434446,nan
380,-2.55,500,0,1,0,1,0,nan,0.001426,0.437257,nan
381,-2.6,500,0,1,0,2,0,nan,5e-06,0.438944,nan
382,-2.55,500,0,1,0,1,0,nan,0.001422,0.435729,nan
383,-2.55,500,0,1,0,1,0,nan,0.002836,0.436709,nan
384,-2.6,500,0,1,0,2,0,nan,2.7e-05,0.433781,nan
385,-2.6,500,0,1,0,2,0,nan,0.001409,0.433016,nan
